type,unsafe,clean
HATE,ආණ්ඩුව ගොන් මිනිස්සු රවටනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,කැබිනට් මණ්ඩලය ගැන 100% සත්‍යයි,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,ආණ්ඩුව ගැන ලීක් වෙලා තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,කැබිනට් මණ්ඩලය ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,නායකයා ගැන ලීක් වෙලා තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,කැබිනට් මණ්ඩලය අවබෝධයක් නැති රට කෑවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,ඇමතිවරයා ගැන ලීක් වෙලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,පක්ෂය අයුතු රට විකුණනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,නිලධාරීන් කූට ජනතාව විනාස කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,රජය පිස්සු දූෂණ කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,කැබිනට් මණ්ඩලය පිස්සු සත්‍ය සඟවනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,පාර්ලිමේන්තුව ගැන සනාථ කරලා තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,නායකයා ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,ඇමතිවරයා ගැන සනාථ කරලා තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,නිලධාරීන් ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,ඇමතිවරයා ගොන් දූෂණ කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,ඇමතිවරයා ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,දේශපාලකයන් ගැන ලීක් වෙලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,නායකයා ගැන සනාථ කරලා තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,ආණ්ඩුව වගකීමක් නැති ජනතාව විනාස කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,මන්ත්‍රීවරු අසාධාරණ මිනිස්සු රවටනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,පක්ෂය ගැන ලීක් වෙලා තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,නායකයා මෝඩ රට විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,ඇමතිවරයා අවිශ්වාසනීය ජනතාව විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,ආණ්ඩුව අවිශ්වාසනීය ජනතාව විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,කැබිනට් මණ්ඩලය අවිශ්වාසනීය සත්‍ය සඟවනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,ආණ්ඩුව ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,රජය ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,ඇමතිවරයා ගැන සනාථ කරලා තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,නිලධාරීන් ගැන ලීක් වෙලා තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,පක්ෂය අවිශ්වාසනීය රට කෑවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,මන්ත්‍රීවරු ගැන ලීක් වෙලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,ආණ්ඩුව මෝඩ රට විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,පක්ෂය අවිශ්වාසනීය රට විකුණනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,පක්ෂය ගැන ලීක් වෙලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,මන්ත්‍රීවරු ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,කැබිනට් මණ්ඩලය ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,නිලධාරීන් කූට සත්‍ය සඟවනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,රජය ගැන ලීක් වෙලා තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,නිලධාරීන් කූට රට කෑවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,ඇමතිවරයා කූට බොරුව පතුරවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,කැබිනට් මණ්ඩලය වගකීමක් නැති දූෂණ කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,ආණ්ඩුව අයුතු රට කෑවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,දේශපාලකයන් දූෂිත මිනිස්සු රවටනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,නායකයා මෝඩ මිනිස්සු රවටනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,පාර්ලිමේන්තුව ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,පක්ෂය ගැන 100% සත්‍යයි,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,පාර්ලිමේන්තුව අයුතු ජනතාව විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,ඇමතිවරයා කූට රට විනාස කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,පාර්ලිමේන්තුව ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,ඇමතිවරයා ගැන සනාථ කරලා තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,ඇමතිවරයා අවිශ්වාසනීය සත්‍ය සඟවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,නායකයා පිස්සු රට කෑවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,කැබිනට් මණ්ඩලය ගැන ලීක් වෙලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,කැබිනට් මණ්ඩලය ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,ආණ්ඩුව ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,කැබිනට් මණ්ඩලය අසාධාරණ දූෂණ කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,ආණ්ඩුව ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,රජය ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,පාර්ලිමේන්තුව ගැන 100% සත්‍යයි,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,මන්ත්‍රීවරු ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,රජය ගැන 100% සත්‍යයි,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,දේශපාලකයන් ගැන සනාථ කරලා තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,ආණ්ඩුව ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,පාර්ලිමේන්තුව ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,නායකයා වගකීමක් නැති සත්‍ය සඟවනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,කැබිනට් මණ්ඩලය වගකීමක් නැති රට විනාස කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,රජය කූට දූෂණ කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,කැබිනට් මණ්ඩලය දූෂිත දූෂණ කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,රජය ගැන ලීක් වෙලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,ආණ්ඩුව ගොන් රට විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,මන්ත්‍රීවරු අසාධාරණ රට විනාස කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,නායකයා අයුතු රට විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,පක්ෂය ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,නායකයා මෝඩ ජනතාව විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,පක්ෂය ගැන 100% සත්‍යයි,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,මන්ත්‍රීවරු වගකීමක් නැති රට විනාස කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,නායකයා ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,නායකයා අවබෝධයක් නැති රට කෑවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,කැබිනට් මණ්ඩලය ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,නිලධාරීන් ගැන 100% සත්‍යයි,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,පාර්ලිමේන්තුව ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,නිලධාරීන් දූෂිත බොරුව පතුරවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,දේශපාලකයන් පිස්සු රට විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,මන්ත්‍රීවරු ගොන් ජනතාව විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,නිලධාරීන් ගොන් රට විකුණනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,දේශපාලකයන් අයුතු රට විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,රජය වගකීමක් නැති සත්‍ය සඟවනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,ඇමතිවරයා අයුතු දූෂණ කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,පාර්ලිමේන්තුව කූට ජනතාව විනාස කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,දේශපාලකයන් අයුතු සත්‍ය සඟවනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,නායකයා කූට රට කෑවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,නිලධාරීන් ගැන 100% සත්‍යයි,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,රජය අසාධාරණ ජනතාව විනාස කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,පාර්ලිමේන්තුව අයුතු දූෂණ කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,මන්ත්‍රීවරු ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,පක්ෂය අවබෝධයක් නැති රට විකුණනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,ආණ්ඩුව ගැන 100% සත්‍යයි,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,නායකයා ගැන රහස් වාර්තාවක් තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,කැබිනට් මණ්ඩලය මෝඩ මිනිස්සු රවටනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,ඇමතිවරයා ගැන සනාථ කරලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,කැබිනට් මණ්ඩලය අවබෝධයක් නැති ජනතාව විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,පාර්ලිමේන්තුව අයුතු බොරුව පතුරවනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,මන්ත්‍රීවරු දූෂිත මිනිස්සු රවටනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,නිලධාරීන් අවබෝධයක් නැති දූෂණ කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,රජය පිස්සු රට විකුණනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,දේශපාලකයන් අවිශ්වාසනීය රට කෑවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,මන්ත්‍රීවරු ගැන 100% සත්‍යයි,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,කැබිනට් මණ්ඩලය ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,පක්ෂය ගැන ලෝකයම පිළිගෙන තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,මන්ත්‍රීවරු අවබෝධයක් නැති මිනිස්සු රවටනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,නායකයා අවබෝධයක් නැති දූෂණ කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,ඇමතිවරයා ගැන ලීක් වෙලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,කැබිනට් මණ්ඩලය පිස්සු ජනතාව විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,දේශපාලකයන් ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,නිලධාරීන් ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,නිලධාරීන් මෝඩ ජනතාව විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,ආණ්ඩුව අවබෝධයක් නැති ජනතාව විනාස කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,පාර්ලිමේන්තුව දූෂිත රට කෑවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,මන්ත්‍රීවරු ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,පාර්ලිමේන්තුව කූට දූෂණ කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,නිලධාරීන් ගැන 100% සත්‍යයි,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,නිලධාරීන් ගැන ලීක් වෙලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,රජය මෝඩ ජනතාව විනාස කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,නිලධාරීන් ගැන 100% සත්‍යයි,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,නිලධාරීන් ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,පාර්ලිමේන්තුව ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,මන්ත්‍රීවරු දූෂිත රට කෑවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,නිලධාරීන් දූෂිත රට විකුණනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,මන්ත්‍රීවරු ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,රජය අසාධාරණ සත්‍ය සඟවනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,ආණ්ඩුව වගකීමක් නැති බොරුව පතුරවනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,ආණ්ඩුව මෝඩ බොරුව පතුරවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,කැබිනට් මණ්ඩලය ගැන රහස් වාර්තාවක් තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,ඇමතිවරයා ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,නායකයා අයුතු දූෂණ කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,ආණ්ඩුව අවිශ්වාසනීය දූෂණ කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,කැබිනට් මණ්ඩලය අසාධාරණ බොරුව පතුරවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,රජය අසාධාරණ ජනතාව විනාස කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,දේශපාලකයන් ගැන 100% සත්‍යයි,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,මන්ත්‍රීවරු ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,නායකයා මෝඩ රට කෑවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,පාර්ලිමේන්තුව දූෂිත ජනතාව විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,ඇමතිවරයා අවබෝධයක් නැති දූෂණ කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,ඇමතිවරයා ගොන් බොරුව පතුරවනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,මන්ත්‍රීවරු ගැන රහස් වාර්තාවක් තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,ඇමතිවරයා ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,මන්ත්‍රීවරු ගැන ලෝකයම පිළිගෙන තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,පක්ෂය පිස්සු සත්‍ය සඟවනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,ආණ්ඩුව ගැන සනාථ කරලා තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,පාර්ලිමේන්තුව අවිශ්වාසනීය රට විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,රජය පිස්සු දූෂණ කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,ඇමතිවරයා අවබෝධයක් නැති දූෂණ කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,කැබිනට් මණ්ඩලය ගැන 100% සත්‍යයි,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,රජය අසාධාරණ දූෂණ කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,දේශපාලකයන් දූෂිත රට විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,රජය ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,කැබිනට් මණ්ඩලය අවබෝධයක් නැති මිනිස්සු රවටනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,පක්ෂය ගැන ලීක් වෙලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
